full_index,TSPAN6,TNMD,DPM1,SCYL3,C1orf112
C6_P5_M15-Post_P1.94,0.0,0.0,0.0,0.0,0.0
C6_P6_M15-Post_P1.95,0.0,0.0,0.0,0.0,0.0
C7_P1_M15-Post_P1.96,0.0,0.0,0.0,0.0,0.0
C8_P1_M15-Post_P1.97,0.0,0.0,8.09,0.0,0.0
C8_P2_M15-Post_P1.98,0.0,0.0,0.0,0.0,0.0
C8_P6_M15-Post_P1.99,0.0,0.0,8.77,0.0,0.0
C9_P1_M15-Post_P1.100,0.0,0.0,0.0,0.0,0.0
C9_P5_M15-Post_P1.101,0.0,0.0,7.9,0.0,0.0
D10_P1_M15-Post_P1.102,0.0,0.0,0.0,0.0,0.0
D10_P2_M15-Post_P1.103,0.0,0.0,0.0,0.0,0.0
D10_P4_M15-Post_P1.104,0.0,0.0,0.0,0.0,0.0
D10_P5_M15-Post_P1.105,0.0,0.0,8.28,0.0,0.0
D10_P6_M15-Post_P1.106,0.0,0.0,5.66,0.0,0.0
D11_P1_M15-Post_P1.107,0.0,0.0,5.98,0.0,0.0
D11_P2_M15-Post_P1.108,0.0,0.0,0.0,0.0,0.0
D11_P3_M15-Post_P1.109,0.0,0.0,0.0,0.0,0.0
D11_P5_M15-Post_P1.110,0.0,0.0,0.0,0.0,0.0
D11_P6_M15-Post_P1.111,0.0,0.0,0.0,0.0,0.0
D12_P1_M15-Post_P1.112,0.0,0.0,5.53,0.0,0.0
D12_P2_M15-Post_P1.113,0.0,0.0,0.0,0.0,5.02
D12_P5_M15-Post_P1.114,0.0,0.0,0.0,0.0,0.0
D1_P1_M15-Post_P1.115,0.0,0.0,8.18,0.0,0.0
D1_P2_M15-Post_P1.116,0.0,0.0,0.0,0.0,0.0
D1_P4_M15-Post_P1.117,0.0,0.0,0.0,0.0,0.0
D1_P6_M15-Post_P1.118,0.0,0.0,8.12,0.0,0.0
D2_P2_M15-Post_P1.119,0.0,0.0,0.0,0.0,0.0
D2_P3_M15-Post_P1.120,0.0,0.0,0.0,0.0,0.0
D2_P5_M15-Post_P1.121,0.0,0.0,0.0,0.0,0.0
D3_P1_M15-Post_P1.122,0.0,0.0,0.0,0.0,0.0
D3_P2_M15-Post_P1.123,0.0,0.0,0.0,2.8,0.0
D3_P5_M15-Post_P1.124,0.0,0.0,5.79,0.0,0.0
D3_P6_M15-Post_P1.125,0.0,0.0,0.0,0.0,0.0
D4_P2_M15-Post_P1.126,0.0,0.0,8.38,3.17,3.69
D4_P3_M15-Post_P1.127,0.0,0.0,0.0,0.0,0.0
D4_P5_M15-Post_P1.128,0.0,0.0,0.0,0.0,0.0
D4_P6_M15-Post_P1.129,0.0,0.0,5.8,0.0,0.0
D5_P1_M15-Post_P1.130,0.0,0.0,0.0,0.0,0.0
D5_P2_M15-Post_P1.131,0.0,0.0,4.28,0.0,0.0
D5_P3_M15-Post_P1.132,0.0,0.0,0.0,0.0,0.0
D5_P6_M15-Post_P1.133,0.0,0.0,0.0,0.0,0.0
D6_P1_M15-Post_P1.134,0.0,0.0,8.69,0.0,0.0
D6_P2_M15-Post_P1.135,0.0,0.0,0.0,0.0,0.0
D6_P5_M15-Post_P1.136,0.0,0.0,0.0,0.0,0.0
D6_P6_M15-Post_P1.137,0.0,0.0,8.32,0.0,0.0
D7_P1_M15-Post_P1.138,0.0,0.0,7.12,0.0,7.44
